Teams,,M,,W,L,N/R,PT,NRR,,For,Against
1,,PUNJAB KINGS,14,9,4,1,19,0.372,2447/246.4,,2395/250.5
2,,ROYAL CHALLENGERS  BENGALURU,14,9,4,1,19,0.301,2357/243.5,,2321/247.5
3,,GUJARAT TITANS,14,9,5,0,18,0.254,2684/271.5,,263 9/274.2
4,,MUMBAI INDIANS,14,8,6,0,16,1.142,2472/261.2,,2301/276.4
S,,DELHI CAPITALS,14,7,6,1,15,0.011,2354/250.4,,2409/256.5
6,,SUNRISERS  HYDERABAD,14,6,7,1,13,-0.241,2519/25 5.3,,2451/242.4
7,,LUCKNOW SUPER GIANTS,14,6,8,0,12,-0.376,2732/275.4,,2779/270.1
8,,KOLKATA KNIGHT RIDERS,14,5,7,2,12,-0.305,1995/227.4,,2075/228.5
9,,RAJASTHAN ROYALS,14,4,10,0,B,-0.549,2603/273.0,,2773/275.0
10,,CHENNAI SUPER KINGS,14,4,10,0,B,-0.647,2441/278.2,,2461/261.2
